"","Bias.Coef..mean.","Bias.Coef..sd.","Width..mean.","Width..sd.","MSE..mean.","MSE..sd.","Coverage","it..mean.","it..sd.","miss","actual_missing..mean.","actual_missing..sd.","dist","mp","m","k","tail","hmi","pmass","std","method"
"413",0.00865045906598141,3.05749789578398,0.120242825104004,0.0144686459114577,1.80529844338491,0.066151546685472,0.946,5,0,0.4,0.39985,0.00871702994781543,"pois","MCAR",5,10,"left","False",0.25,0.0306747537333503,"pmm"
"414",-0.0711258748664321,3.28282163261917,0.117023729399421,0.00903568698920009,1.80187973506873,0.0687881068994575,0.914,10,0,0.4,0.400422,0.00888498886387097,"pois","MCAR",10,10,"left","False",0.25,0.0298535407595475,"pmm"
"415",-0.0485636798954877,3.13228818658697,0.116257444617216,0.00554752901961043,1.80195803528252,0.071158578605144,0.928,25,0,0.4,0.400506666666667,0.00898058152039412,"pois","MCAR",25,10,"left","False",0.25,0.0296580563556883,"pmm"
"416",0.108557681321649,3.21707497905819,0.115711956062139,0.00451362586470615,1.80363798773436,0.0707283935476547,0.942,40,0,0.4,0.400245333333333,0.00839014172837517,"pois","MCAR",40,10,"left","False",0.25,0.029518898554989,"pmm"
"417",0.0351141930830948,3.06266922999443,0.115247524611612,0.00366497974855539,1.80668663798695,0.0693677184059359,0.946,67.988,20.1436802992899,0.4,0.399549333333333,0.0088034342793657,"pois","MCAR",10,1,"left","True",0.25,0.0294004189670498,"pmm"
"418",0.085941215389563,3.13342295071011,0.115237344567432,0.00403482310583721,1.80100609142505,0.0711385794998396,0.932,67.118,20.4410390146881,0.4,0.399952,0.00922081741375339,"pois","MCAR",10,3,"left","True",0.25,0.0293978219692836,"pmm"
"419",0.00515928480327723,3.11589525902414,0.115552408178124,0.00385627839293942,1.80416430834675,0.0684302571198045,0.92,68.118,20.4552212405537,0.4,0.399895333333333,0.00919492253607633,"pois","MCAR",10,5,"left","True",0.25,0.0294781968162643,"pmm"
"420",0.128297794875333,3.00594498894804,0.115245309482992,0.00388152533063029,1.79927479087025,0.0698934481062766,0.946,67.932,20.8775328044288,0.4,0.401252,0.0084186067994915,"pois","MCAR",10,10,"left","True",0.25,0.0293998538728346,"pmm"
"421",-0.337112358012129,2.12378989952501,0.119649340519791,0.0026417526020179,2.65816013906605,0.0747560081987015,0.998,5,0,0.1,0.134168666666667,0.00571234495534793,"pois","MAR",5,1,"left","False",0.25,0.0305233518226782,"pmm"
"422",-0.229569000149036,2.151879745672,0.119236947414668,0.0022241886306829,2.65459586073733,0.0816880267156219,0.992,10,0,0.1,0.133705333333333,0.00590264106612926,"pois","MAR",10,1,"left","False",0.25,0.0304181475667904,"pmm"
